,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
170,Niger,3,0,0.0,0.0,0.0,3,0.0,0.1
171,St. Barth,3,0,0.0,0.0,0.0,3,0.0,304.0
172,Saint Lucia,3,0,0.0,0.0,0.0,3,0.0,16.0
173,Zambia,3,0,0.0,0.0,0.0,3,0.0,0.2
174,Gambia,2,0,1.0,0.0,0.0,1,0.0,0.8
175,Sudan,2,0,1.0,0.0,0.0,1,0.0,0.05
176,Nepal,2,0,0.0,0.0,1.0,1,0.0,0.07
177,Bhutan,2,0,0.0,0.0,0.0,2,0.0,3.0
178,Chad,2,0,0.0,0.0,0.0,2,0.0,0.1
179,Dominica,2,0,0.0,0.0,0.0,2,0.0,28.0
180,Mauritania,2,0,0.0,0.0,0.0,2,0.0,0.4
181,Myanmar,2,0,0.0,0.0,0.0,2,0.0,0.04
182,Nicaragua,2,0,0.0,0.0,0.0,2,0.0,0.3
183,Sint Maarten,2,0,0.0,0.0,0.0,2,0.0,47.0
184,Belize,1,0,0.0,0.0,0.0,1,0.0,3.0
185,Eritrea,1,0,0.0,0.0,0.0,1,0.0,0.3
186,Grenada,1,0,0.0,0.0,0.0,1,0.0,9.0
187,Vatican City,1,0,0.0,0.0,0.0,1,0.0,1248.0
188,Montserrat,1,0,0.0,0.0,0.0,1,0.0,200.0
189,Mozambique,1,0,0.0,0.0,0.0,1,0.0,0.03
190,Papua New Guinea,1,0,0.0,0.0,0.0,1,0.0,0.1
191,St. Vincent Grenadines,1,0,0.0,0.0,0.0,1,0.0,9.0
192,Somalia,1,0,0.0,0.0,0.0,1,0.0,0.06
193,Syria,1,0,0.0,0.0,0.0,1,0.0,0.06
194,Timor-Leste,1,0,0.0,0.0,0.0,1,0.0,0.8
195,Turks and Caicos,1,0,0.0,0.0,0.0,1,0.0,26.0
196,Total:,381739,2957,16558.0,51.0,102429.0,262752,12062.0,49.0
